id	count
ZIT	12
SIW	12
EEE	12
YCH	12
8AZ	12
UQ7	12
AAC	12
PSF	12
MHT	12
5FC	12
ANL	11
FEC	11
TMA	11
EFZ	11
BAT	11
TPS	11
TD6	11
FID	11
P4K	11
DHY	11
BRN	11
ME6	11
80I	11
FLU	11
IPR	11
BPY	11
PBZ	11
SV6	11
SB2	11
NPS	11
JZR	11
FMG	11
P6L	11
LYC	11
2PO	11
PBD	11
FUD	11
OPC	11
KMP	11
DIH	11
RQM	11
60F	11
AAL	11
4HP	11
PRL	11
INN	11
16C	11
PM8	11
QUA	11
TYE	11
BCZ	11
GDE	11
NBU	11
PT1	11
DFT	11
CZH	11
DMJ	11
NET	11
QNN	11
VGH	11
NTM	11
TS9	11
K34	11
AIR	11
30W	11
0DC	11
ID1	11
EPZ	11
COB	11
MSS	11
FLP	11
P4P	11
RI2	11
BTK	11
MEV	11
ELY	11
DZM	11
SY9	11
0DG	11
9SL	11
R1A	11
PP9	11
1YN	11
JMM	11
3AM	11
LYA	11
RM4	11
PYL	11
FDE	11
SSN	11
BM3	11
MH0	11
DEB	11
3CT	11
CIS	11
AGH	11
ANH	11
RSQ	11
HMG	11
TFX	11
DBV	11
I49	11
AGI	11
THH	11
K0G	11
COU	11
HQE	11
DNP	11
MEE	11
AGL	11
PBF	11
VX6	11
CBY	11
P0T	11
7PG	11
BCO	11
A1R	11
MCY	11
12V	11
G46	11
CAO	11
MNB	11
DGJ	11
PO2	11
QPJ	11
PSJ	11
DAD	11
Y70	11
MME	11
FE9	11
LSS	11
1UN	11
GH3	11
2L5	11
PFL	11
1AC	11
SOA	10
TNF	10
ZAE	10
DG2	10
DAP	10
173	10
PGU	10
HOX	10
WFP	10
OEC	10
NDS	10
DAU	10
8PR	10
MUR	10
198	10
EOE	10
R1P	10
IHT	10
CZA	10
T6C	10
PHT	10
PXL	10
IRG	10
2FP	10
SUZ	10
EEM	10
PIE	10
E5E	10
RAL	10
II0	10
PNT	10
D48	10
IMI	10
PXG	10
D6M	10
TLO	10
V14	10
EVF	10
4J2	10
LPA	10
Q6F	10
CVM	10
3TR	10
C38	10
QN8	10
PYJ	10
E4Z	10
HDE	10
1AP	10
DV7	10
8CT	10
IXO	10
G52	10
PIT	10
5HU	10
PGD	10
MNA	10
GDM	10
2HG	10
TBE	10
QVE	10
GBL	10
2J9	10
EUG	10
3DM	10
LJA	10
CS2	10
O31	10
GMA	10
ZAL	10
1EM	10
UHB	10
NGH	10
SUS	10
9TY	10
JFS	10
P2E	10
PCT	10
1WV	10
BLG	10
DR7	10
I46	10
2RA	10
AHG	10
EAA	10
A3T	10
NGC	10
HSL	10
BYZ	10
D4T	10
TYL	10
CR	10
BQ1	10
4CO	10
PAF	10
HF2	10
AZR	10
TCR	10
XUL	10
1U8	10
ORD	10
EB4	10
TSY	10
128	10
LZ1	10
TPW	10
PF5	10
G3A	10
MYN	10
GDN	10
YY3	10
DKI	10
2LT	10
FNE	10
UVW	10
5N6	10
R2R	10
NUT	10
HXC	10
3VV	10
3K5	10
0FX	10
IOP	10
HC3	10
6V1	10
FLF	10
HMC	10
PPF	10
ANM	10
BLS	10
Z80	10
MMV	10
PAC	10
16D	10
DWZ	10
JSP	10
DLP	10
RE	10
6MD	10
DGI	10
TCW	10
6U4	10
HY0	10
ZGL	10
FB2	9
CRB	9
IM5	9
9S8	9
EZL	9
AWD	9
6SU	9
L0B	9
KIR	9
5FW	9
XFJ	9
CEI	9
GP4	9
MOA	9
H35	9
Z7Z	9
TIH	9
GNE	9
QRP	9
GS1	9
B96	9
FSI	9
GFB	9
GCH	9
HGR	9
PIS	9
56A	9
PE0	9
16A	9
SSU	9
UDH	9
TYZ	9
FHU	9
DET	9
BAB	9
UX8	9
ZCL	9
SHG	9
SE7	9
02I	9
RH3	9
O1M	9
BXY	9
MNP	9
4K4	9
DXX	9
O6E	9
SGB	9
7LD	9
OTP	9
GX4	9
EUJ	9
1FL	9
210	9
BMQ	9
P6F	9
ERI	9
10M	9
BNI	9
2FG	9
ML1	9
G5A	9
ARB	9
QUK	9
ROL	9
NKN	9
TPV	9
TDA	9
E4P	9
SPS	9
KAA	9
F05	9
F2Y	9
E3C	9
AU3	9
HT7	9
5FU	9
NGY	9
KRS	9
SUN	9
ZPR	9
IDR	9
RDC	9
VIV	9
CL6	9
RDF	9
E8N	9
CUY	9
VNL	9
