prd_ID	pdb
PRD_000818	3ava
PRD_000819	3avb
PRD_000821	3avi
PRD_000822	3avj
PRD_000823	3oyp
PRD_000824	3avk
PRD_000825	3avl
PRD_000826	3avm
PRD_000827	3avn
PRD_000828	3sbn
PRD_000829	3p72
PRD_000830	4gql
PRD_000833	3ths
PRD_000841	3zyh
PRD_000842	4abi
PRD_000843	3lox
PRD_000845	3p8n
PRD_000846	4abj
PRD_000849	3p8o
PRD_000854	3url
PRD_000855	3uri
PRD_000857	3v3b
PRD_000865	4gr0
PRD_000866	4gr3
PRD_000868	4gr8
PRD_000870	4fbx
PRD_000874	2lws
PRD_000875	2lwu
PRD_000877	3u98
PRD_000882	3vfj
PRD_000887	3u9a
PRD_000889	4hfp
PRD_000892	3uqp
PRD_000893	3uqr
PRD_000894	4gm8
PRD_000895	4gm3
PRD_000896	4gmb
PRD_000897	4gm9
PRD_000898	4dv9
PRD_000899	4dvf
PRD_000900	3uwj
PRD_000901	4g5g
PRD_000902	4hnp
PRD_000903	4gi7
PRD_000904	4hnp
PRD_000907	3vl0
PRD_000908	3ufa
PRD_000909	4fwh
PRD_000910	3vb4
PRD_000911	3vb5
PRD_000912	3vb6
PRD_000913	3vb7
PRD_000915	4j70
PRD_000919	3l0t
PRD_000920	4g13
PRD_000921	4g35
PRD_000922	4hy2
PRD_000924	4jr0
PRD_000925	4jje
PRD_000926	4jk5
PRD_000927	4jk6
PRD_000929	3p4u
PRD_000930	4hrc
PRD_000935	3s3j
PRD_000937	3s3s
PRD_000939	4i7b
PRD_000940	3u8o
PRD_000941	2m1p
PRD_000942	4i7c
PRD_000943	4i7d
PRD_000944	3oeu
PRD_000946	3sa3
PRD_000947	3sa4
PRD_000948	3sa5
PRD_000949	3sa6
PRD_000950	3sa7
PRD_000951	3sa8
PRD_000952	3sa9
PRD_000953	3saa
PRD_000954	3sab
PRD_000955	3sac
PRD_000956	4hrd
PRD_000958	2obo
PRD_000959	3oev
PRD_000960	4hva
PRD_000964	3rmm
PRD_000966	2l6e
PRD_000967	4i80
PRD_000970	3n5e
PRD_000971	3pa8
PRD_000972	3rmn
PRD_000973	4k1e
PRD_000976	3od5
PRD_000977	3tju
PRD_000979	4inr
PRD_000980	3t73
PRD_000981	3t74
PRD_000982	3t87
PRD_000983	3t8c
PRD_000984	3t8d
PRD_000985	3t8f
PRD_000986	3t8g
PRD_000987	3t8h
PRD_000988	3u1i
PRD_000989	2y6i
PRD_000990	3avz
PRD_000991	3un4
PRD_000992	4int
PRD_000993	4inu
PRD_000995	3tpx
PRD_000997	3nf3
PRD_000998	2m2g
PRD_000999	4a1w
PRD_001000	3aw0
PRD_001001	3prs
PRD_001002	2m2h
PRD_001003	3tjs
PRD_001005	3rmo
PRD_001006	2m2s
PRD_001008	3pmj
PRD_001009	2m2x
PRD_001011	3ns7
PRD_001012	4hy9
PRD_001013	3r5j
PRD_001014	4ezp
PRD_001016	4fzg
PRD_001017	3tof
PRD_001018	4fzc
PRD_001019	3tog
PRD_001020	3uw4
PRD_001021	3agm
PRD_001022	3u4w
PRD_001023	3u51
PRD_001025	4hgc
PRD_001030	3i74
PRD_001031	4i5n
PRD_001032	3qsd
PRD_001037	3nwx
PRD_001038	3kyr
PRD_001039	4gly
PRD_001041	4jsq
PRD_001043	4f7w
PRD_001044	4jsu
PRD_001045	4jt0
PRD_001046	3pm3
PRD_001047	4gk7
PRD_001048	3r6g
PRD_001049	4jt0
PRD_001050	3nxq
PRD_001051	3okj
PRD_001052	3r7b
PRD_001053	4hxf
PRD_001054	4inh
PRD_001055	3qvi
PRD_001057	4exh
PRD_001058	3lik
PRD_001059	4kel
PRD_001060	3tsk
PRD_001061	4imz
PRD_001062	4imq
PRD_001063	2m7i
PRD_001064	4k8b
PRD_001065	4k3t
PRD_001066	4knl
PRD_001068	2m7j
PRD_001069	3qgj
PRD_001070	4k7t
PRD_001071	3sdi
PRD_001072	3u2q
PRD_001073	3u6k
PRD_001074	3u6b
PRD_001075	3sdk
PRD_001076	3v4l
PRD_001077	3tdz
PRD_001078	4ks6
PRD_001079	3qto
PRD_001080	4ktx
PRD_001082	4dm9
PRD_001083	3qtv
PRD_001084	3qwc
PRD_001085	3qx5
PRD_001086	4kts
PRD_001087	3rlw
PRD_001088	3iwy
PRD_001090	3rml
PRD_001091	3m17
PRD_001092	3u8t
PRD_001093	3u8r
PRD_001094	4jzw
PRD_001095	3s3p
PRD_001096	1jd2
PRD_001097	3p8f
PRD_001098	3nzw
PRD_001099	4k0a
PRD_001100	3rly
PRD_001101	3rm0
PRD_001102	4ka2
PRD_001103	3nzj
PRD_001104	4l3o
PRD_001105	3nzx
PRD_001107	3oe0
PRD_001108	1cwc
PRD_001109	3q4k
PRD_001110	3r0w
PRD_001111	3q4l
PRD_001112	3p17
PRD_001113	3r0y
PRD_001114	3sn8
PRD_001115	3sos
PRD_001116	3t7x
PRD_001117	3sna
PRD_001118	3snb
PRD_001122	1cwi
PRD_001123	1cwo
PRD_001124	3wdc
PRD_001125	4kty
PRD_001126	3h9q
PRD_001127	1nt5
PRD_001128	1nt6
PRD_001129	3h9g
PRD_001130	4ipz
PRD_001131	1ng8
PRD_001132	1cwf
PRD_001133	4ktc
PRD_001135	4lfd
PRD_001136	4lai
PRD_001137	4lge
PRD_001138	4hy0
PRD_001139	4hy4
PRD_001140	4lqg
PRD_001141	4lgu
PRD_001142	4m6e
PRD_001145	3vxe
PRD_001148	3vxe
PRD_001156	4lkl
PRD_001157	4lp9
PRD_001158	4mfl
PRD_001159	4lkm
PRD_001160	1cvr
PRD_001161	4ltc
PRD_001162	4mex
PRD_001163	4mcr
PRD_001164	4mcq
PRD_001165	4mcp
PRD_001166	4mnw
PRD_001167	4mnx
PRD_001168	4mny
PRD_001169	4mfq
PRD_001171	2m9p
PRD_001172	2mc0
PRD_001173	4o6w
PRD_001174	3dck
PRD_001175	4mtw
PRD_001177	4mwp
PRD_001178	4mxj
PRD_001179	4mzn
PRD_001180	4n4e
PRD_001181	4mq9
PRD_001182	4n66
PRD_001183	4n5p
PRD_001184	4jna
PRD_001185	2m7r
PRD_001186	4mzj
PRD_001187	4mzk
PRD_001188	4mzl
PRD_001189	4n5t
PRD_001191	4nmv
PRD_001192	4nmt
PRD_001193	4nms
PRD_001194	4nmr
PRD_001195	4nmq
PRD_001196	4nmp
PRD_001197	4nmo
PRD_001198	4my6
PRD_001200	4no9
PRD_001201	4no9
PRD_001205	4no8
PRD_001206	4no6
PRD_001207	4nnw
PRD_001208	4ngh
PRD_001209	4nhc
PRD_001210	4nnn
PRD_001211	3wne
PRD_001212	3wnf
PRD_001213	3wnh
PRD_001214	3wng
PRD_001215	4lte
PRD_001216	2mi1
PRD_001217	4nsv
PRD_001218	4nvu
PRD_001219	2mh5
PRD_001220	4omc
PRD_001221	4omd
PRD_001222	4os1
PRD_001223	4os2
PRD_001224	4os4
PRD_001225	4os6
PRD_001226	4os7
PRD_001227	4os5
PRD_001229	3wmg
PRD_001230	4q80
PRD_001231	4q7z
PRD_001232	2moa
PRD_001233	4q9l
PRD_001234	4q9k
PRD_001235	4q9j
PRD_001236	4q9i
PRD_001237	4qby
PRD_001238	1apu
PRD_001241	2rui
PRD_001243	4qw5
PRD_001244	4r02
PRD_001251	4qnz
PRD_001252	4qo2
PRD_001254	4rcp
PRD_001255	2mbz
PRD_001256	4rwa
PRD_001257	4ryd
PRD_001258	4qqu
PRD_001259	1jbn
PRD_001260	5fc3
PRD_002042	4bcb
PRD_002043	4cdr
PRD_002048	2x94
PRD_002050	2x95
PRD_002070	4bcc
PRD_002071	4bcd
PRD_002076	2x92
PRD_002077	2x93
PRD_002086	4aw9
PRD_002087	4awb
PRD_002089	4pjz
PRD_002092	4tpg
PRD_002097	2xe4
PRD_002098	1h0g
PRD_002099	4c12
PRD_002101	4tom
PRD_002103	4trw
PRD_002106	4try
PRD_002107	4trz
PRD_002111	4u0g
PRD_002115	4tot
PRD_002118	4whk
PRD_002126	4whl
PRD_002127	4whh
PRD_002132	4wvu
PRD_002133	4wvt
PRD_002139	4wvp
PRD_002146	4yes
PRD_002147	4y6k
PRD_002148	4x1i
PRD_002151	4x1k
PRD_002153	4x20
PRD_002154	4x1y
PRD_002156	4yec
PRD_002159	4zar
PRD_002162	4yv8
PRD_002168	4zl4
PRD_002173	4zhq
PRD_002174	4zro
PRD_002175	4zi7
PRD_002182	4zqw
PRD_002183	5bmm
PRD_002186	5d13
PRD_002187	5dg6
PRD_002189	5dgj
PRD_002200	5dzk
PRD_002201	5e0g
PRD_002202	5e0h
PRD_002203	5e0j
PRD_002204	5efj
PRD_002208	5epk
PRD_002211	5bpe
PRD_002214	5eu8
PRD_002217	5hdb
PRD_002222	5dnj
PRD_002227	5wxs
PRD_002229	5wxt
PRD_002230	5fc2
PRD_002231	4zjx
PRD_002234	5o0z
PRD_002237	4zol
PRD_002239	5l20
PRD_002240	5ta4
PRD_002241	5t9w
PRD_002245	5t9z
PRD_002246	5ta2
PRD_002248	5tg2
PRD_002249	5tg1
PRD_002250	5tho
PRD_002251	5t9u
PRD_002252	5trg
PRD_002253	5ts0
PRD_002254	5try
PRD_002255	5trr
PRD_002256	5trs
PRD_002257	5dir
PRD_002261	5u66
PRD_002263	5ufi
PRD_002267	6yfy
PRD_002268	6yfy
PRD_002270	5vfc
PRD_002272	5v93
PRD_002274	5vz2
PRD_002275	5xn3
PRD_002277	5w4k
PRD_002279	5wgq
PRD_002282	5vi6
PRD_002284	5yyf
PRD_002285	6b5q
PRD_002289	6b34
PRD_002290	6b35
PRD_002295	6c0y
PRD_002298	5zms
PRD_002301	6c1d
PRD_002302	6c4g
PRD_002303	6c1q
PRD_002304	5zob
PRD_002306	6cn8
PRD_002307	6d8c
PRD_002308	6ddf
PRD_002309	5zmq
PRD_002311	6djk
PRD_002312	6dn8
PRD_002313	6dn7
PRD_002314	6dn6
PRD_002315	6dto
PRD_002316	6j67
PRD_002317	6e00
PRD_002318	5wgq
PRD_002319	6dtn
PRD_002323	1cwl
PRD_002324	1cyn
PRD_002326	6mgq
PRD_002327	6m9c
PRD_002328	6m9f
PRD_002330	7nri
PRD_002331	6m9d
PRD_002333	6mw1
PRD_002334	6mw0
PRD_002335	6mvz
PRD_002337	7oov
PRD_002338	6n4t
PRD_002339	7oow
PRD_002342	7p1c
PRD_002346	7oox
PRD_002347	6lze
PRD_002349	6m0k
PRD_002350	7oow
PRD_002352	7c8b
PRD_002353	7p8h
PRD_002355	5k99
PRD_002357	6pmd
PRD_002359	6pka
PRD_002360	7bot
PRD_002361	7bos
PRD_002362	7bph
PRD_002363	6u2f
PRD_002365	6u48
PRD_002366	7plu
PRD_002367	7fgt
PRD_002368	6mw2
PRD_002369	6pbs
PRD_002370	7x1t
PRD_002371	7x1u
PRD_002372	6vj8
PRD_002373	6vj9
PRD_002374	6vxy
PRD_002375	6vy8
PRD_002377	6wnk
PRD_002379	7xzq
PRD_002381	7xzr
PRD_002382	6wnp
PRD_002383	6wsj
PRD_002384	7qgv
PRD_002385	6wuu
PRD_002386	7qgw
PRD_002387	7aku
PRD_002390	6wx4
PRD_002391	6xa4
PRD_002392	6xbg
PRD_002393	6xbh
PRD_002394	6xbi
PRD_002396	7r1v
PRD_002397	6xbe
PRD_002398	6xbf
PRD_002399	6xci
PRD_002404	7r1v
PRD_002409	7z5z
PRD_002411	7zv7
PRD_002412	7zv8
PRD_002413	7zv5
PRD_002415	7zil
PRD_002417	8ab5
PRD_002419	8ad9
PRD_002420	8x8g
PRD_002423	8yr4
PRD_002424	8adg
PRD_002425	8akn
PRD_002426	8agy
PRD_002429	8w6z
PRD_002430	8adi
PRD_002431	8b0r
PRD_002432	8b0p
PRD_002435	7jfr
PRD_002441	8b7y
PRD_002442	7qq3
PRD_002443	8bjz
PRD_002447	3sv6
PRD_002448	3sv6
PRD_002449	6ckz
PRD_002450	6cl0
PRD_002452	6w5h
PRD_002454	7kld
PRD_002455	7kjn
PRD_002456	6pbs
PRD_002457	7kr6
PRD_002459	7l16
PRD_002460	7lbn
PRD_002466	8ciy
PRD_002467	8ciz
PRD_002469	7m2p
PRD_002470	4zeb
PRD_002471	7mau
PRD_002472	7mav
PRD_002473	8cke
PRD_002479	7mso
PRD_002482	7rov
PRD_002484	4zec
PRD_002485	8caw
PRD_002486	7s18
PRD_002487	7s19
PRD_002489	7t8y
PRD_002490	7tho
PRD_002491	7tl7
PRD_002492	7tl8
PRD_002495	7tgr
PRD_002496	7ugw
PRD_002506	8ch3
PRD_002507	8cko
PRD_002508	8cko
PRD_002509	8dev
PRD_002510	8dl7
PRD_002512	8f14
PRD_002513	8f16
PRD_002514	8f17
PRD_002515	8f15
PRD_002516	8f31
PRD_002517	8feg
PRD_002519	8fpq
PRD_002520	8fvq
PRD_002521	8fvl
PRD_002523	8fvn
PRD_002525	8fvp
PRD_002526	3e0n
PRD_002527	8gjv
PRD_002528	8gh7
PRD_002532	8u78
PRD_002533	8uo7
PRD_002539	9cof
PRD_002540	7ugw
PRD_002546	6cae
PRD_002547	8cdo
PRD_002548	8cdo
PRD_002551	8r7t
PRD_002553	8r7u
PRD_002554	8fpo
PRD_002555	8r6c
PRD_002557	6q4q
PRD_002558	8fvm
PRD_002559	6q38
PRD_002562	8fvo
PRD_002578	6zp8
PRD_002580	6zp6
PRD_002583	8pxy
PRD_900001	1mpd
PRD_900002	4zs9
PRD_900003	3tan
PRD_900004	4no4
PRD_900005	3pfx
PRD_900006	4kzv
PRD_900007	3weo
PRD_900008	5nld
PRD_900009	5m28
PRD_900010	6iyg
PRD_900011	3pfz
PRD_900012	5mk9
PRD_900013	1afc
PRD_900014	4w7w
PRD_900015	2xfy
PRD_900016	3pl3
PRD_900017	5njr
PRD_900018	5lgw
PRD_900019	4q26
PRD_900020	6bsw
PRD_900021	3pl3
PRD_900022	1ded
PRD_900023	5gm9
PRD_900024	4r2f
PRD_900025	1s0i
PRD_900026	1u4l
PRD_900027	4oaa
PRD_900028	?
PRD_900029	5zl4
PRD_900030	5jbf
PRD_900031	1e03
PRD_900032	2xy5
PRD_900033	1x9d
PRD_900034	4ipm
PRD_900035	3k8l
PRD_900036	1zj3
PRD_900037	6epz
PRD_900038	6b94
PRD_900039	5k44
PRD_900040	1h11
PRD_900041	1jz8
PRD_900042	5mka
PRD_900043	2faf
PRD_900044	5g60
PRD_900045	1pyy
PRD_900046	5bno
PRD_900047	3ueq
PRD_900048	1byd
PRD_900049	1zi5
PRD_900050	1e0v
PRD_900051	4ffi
PRD_900052	5man
PRD_900053	5okg
PRD_900054	4gwi
PRD_900055	4yee
PRD_900056	5g61
PRD_900057	1u2t
PRD_900058	2ahg
PRD_900059	4oup
PRD_900060	1qho
PRD_900061	1gai
PRD_900062	1xcx
PRD_900063	4ffi
PRD_900064	4v44
PRD_900065	4qrz
PRD_900066	5bnn
PRD_900067	5bnp
PRD_900068	5duw
PRD_900069	4gpn
PRD_900070	5uff
PRD_900071	5oca
PRD_900072	2eqd
PRD_900073	6f9l
PRD_900074	1ga8
PRD_900075	3nbe
PRD_900076	2a8u
PRD_900077	4u2z
PRD_900078	4cn1
PRD_900079	1sr5
PRD_900080	3vtr
PRD_900081	3uer
PRD_900082	4v20
PRD_900083	2cgy
PRD_900084	6aox
PRD_900085	3lek
PRD_900086	2qkh
PRD_900087	4u31
PRD_900088	3ugh
PRD_900089	1t3i
PRD_900090	4rzt
PRD_900091	4zrv
PRD_900092	6eq1
PRD_900093	6mna
PRD_900094	1u4m
PRD_900095	4fg4
PRD_900096	4ipn
PRD_900097	1ovw
PRD_900098	6mi1
PRD_900099	6md6
PRD_900100	9cgt
PRD_900101	8cgt
PRD_900102	3bvt
PRD_900103	3cui
PRD_900104	3cuj
PRD_900105	1xnk
PRD_900106	3qt9
PRD_900107	3bvu
PRD_900108	3bvw
PRD_900109	4jck
PRD_900110	1xcw
PRD_900111	5wey
PRD_900112	3a0e
PRD_900113	1ur4
PRD_900114	1ur0
PRD_900115	1qnr
PRD_900116	6rv8
PRD_900117	4pvi
PRD_900118	5i4f
PRD_900119	2ox9
PRD_900120	1sl6
PRD_900121	2r61
PRD_900122	2rdg
PRD_900123	4gwj
PRD_900124	1s3k
PRD_900125	2j7m
PRD_900126	5f7n
PRD_900127	2wmk
PRD_900128	5ele
PRD_900129	3uet
PRD_900130	4rm0
PRD_900131	3asp
PRD_900132	4ds0
PRD_900133	5xfd
